time	ax	ay	az	atotal
1.504	0.51	-2.63	-0.58	2.74
1.514	0.54	-2.76	-0.73	2.91
1.523	0.51	-2.72	-0.67	2.84
1.533	0.43	-2.65	-0.74	2.78
1.542	0.41	-2.59	-0.7	2.72
1.554	0.47	-2.66	-0.7	2.79
1.56	0.43	-2.79	-0.74	2.92
1.574	0.26	-2.72	-0.46	2.77
1.584	0.16	-2.56	-0.27	2.58
1.592	-0.01	-2.45	-0.08	2.45
1.604	-0.12	-2.3	0.17	2.31
1.614	-0.32	-1.99	0.29	2.04
1.625	-0.38	-0.46	0.1	0.61
1.635	-0.12	0.36	-0.05	0.38
1.643	-0.15	0.36	-0.05	0.39
1.655	0.25	1.46	-0.76	1.67
1.665	0.77	1.96	-0.13	2.11
1.675	1.3	2.12	0.22	2.5
1.68	1.27	2.13	0.23	2.49
1.692	1.27	2.15	0.55	2.56
1.705	0.79	2.85	1.18	3.18
1.715	0.59	3.67	1.51	4.02
1.725	0.51	4.77	1.64	5.07
1.735	0.77	5.77	1.44	5.99
1.743	0.73	5.77	1.46	6
1.755	1.02	7.36	1.5	7.58
1.765	0.94	8.2	1.66	8.42
1.775	0.88	9.17	2.05	9.43
1.786	0.74	9.84	2.34	10.14
1.792	0.73	9.85	2.34	10.15
1.806	0.1	10.6	2.75	10.95
1.816	0.32	10.93	2.7	11.26
1.827	1.09	11.32	2.72	11.69
1.836	1.29	11.3	2.53	11.66
1.843	1.31	11.3	2.57	11.66
1.856	-0.33	12.38	2.75	12.69
1.866	-0.42	13.15	3.02	13.5
1.876	-1.11	13.92	3.67	14.44
1.886	-1.46	14.72	4.01	15.33
1.893	-1.43	14.72	4.01	15.32
1.907	0.29	11.81	2.37	12.04
1.916	0.69	10.44	2.02	10.66
1.927	1.36	9.5	1.29	9.69
1.937	1.48	8.04	0.44	8.19
1.942	1.55	8.04	0.41	8.19
1.956	1.6	3.1	-1.52	3.81
1.966	2.57	0.52	-1.5	3.02
1.976	3.29	-2.83	-1.41	4.56
1.986	3.3	-7.27	-1.99	8.22
1.992	3.43	-7.27	-2.02	8.29
2.006	2.88	-16.17	-6.4	17.62
2.016	3.3	-18.91	-6.02	20.12
2.027	3.6	-20.4	-5.59	21.45
2.032	3.46	-20.38	-5.64	21.42
2.043	3.55	-19.97	-4.98	20.88
2.052	3.5	-16.78	-3.06	17.41
2.066	3.22	-8.31	2.29	9.21
2.077	2.28	-6.18	2.38	7.01
2.086	1.56	-5.44	1.02	5.75
2.092	1.51	-5.44	1.07	5.74
2.106	-0.08	-6.22	-0.69	6.26
2.113	-0.13	-6.21	-0.71	6.25
2.127	-2.83	-8.57	-1.79	9.2
2.136	-3.53	-9.91	-2.4	10.79
2.142	-3.59	-9.89	-2.44	10.8
2.156	-5.41	-11.04	-1.8	12.42
2.166	-5.83	-10.99	-1.87	12.58
2.176	-5.37	-10.51	-2.24	12.01
2.186	-4.94	-10.25	-2.78	11.71
2.192	-5.02	-10.24	-2.77	11.73
2.206	-2.31	-8.58	-3.14	9.43
2.217	-1.17	-7.84	-2.85	8.42
2.227	-0.67	-8.03	-3.01	8.6
2.237	-1.06	-8.75	-2.42	9.15
2.242	-1.15	-8.74	-2.38	9.13
2.257	-0.13	-9.74	-2	9.95
2.267	0.93	-10.19	-2.36	10.5
2.276	0.91	-10.18	-2.37	10.5
2.286	1.58	-10.52	-3.76	11.29
2.292	1.57	-10.52	-3.78	11.29
2.307	0.74	-10.24	-2.96	10.69
2.317	0.1	-9.29	-1.43	9.4
2.327	-0.41	-8.02	2.36	8.37
2.337	-1.19	-6.4	4.23	7.77
2.342	-1.2	-6.4	4.25	7.78
2.357	-2.82	-1.48	2.99	4.37
2.364	-2.86	-1.47	2.98	4.38
2.376	-1.3	2.99	4.1	5.24
2.387	3.57	18.72	-1.31	19.1
2.393	3.5	18.75	-1.36	19.12
2.408	9.43	31.63	-1.2	33.03
2.418	14.35	30.14	-1.39	33.41
2.427	14.04	24.14	3.1	28.09
2.437	8.71	22.31	7.62	25.13
2.443	8.8	22.28	7.62	25.14
2.458	5.79	14.65	7.53	17.46
2.468	0.23	12.72	4.87	13.62
2.476	0.31	12.7	4.86	13.6
2.487	1.11	9.03	3.62	9.8
2.493	1.15	9.03	3.61	9.79
2.507	-1.15	4.48	-0.48	4.65
2.517	-2.95	2.48	-1.1	4.01
2.527	-2.99	2.49	-1.09	4.04
2.537	-3.91	-0.65	-1.5	4.24
2.543	-3.93	-0.66	-1.43	4.23
2.558	-3.36	-5.9	-1.44	6.94
2.567	-1.88	-6.89	0.05	7.14
2.576	-1.83	-6.91	0.08	7.15
2.588	-0.92	-6.39	-1.52	6.63
2.593	-0.88	-6.4	-1.5	6.63
2.608	0.26	-7.45	-1.12	7.54
2.613	0.27	-7.46	-1.13	7.55
2.626	0.08	-8.37	-0.8	8.41
2.638	-0.56	-8.8	-0.17	8.82
2.648	-0.68	-8.49	-0.19	8.52
2.658	-0.57	-7.97	0.25	8
2.668	-0.18	-6.6	0.12	6.6
2.676	-0.18	-6.6	0.1	6.6
2.688	0.58	-1.74	-1.15	2.17
2.698	1.65	3.11	-0.08	3.52
2.708	2.17	6.62	-0.94	7.03
2.718	1.42	7.11	-2.5	7.67
2.726	1.44	7.11	-2.51	7.68
2.738	1.57	8.95	1.42	9.2
2.748	1.21	7	1.14	7.19
2.758	-0.04	3.78	1.65	4.13
2.768	-0.87	1.42	1.07	1.98
2.776	-0.8	1.41	1.05	1.93
2.788	-2.02	-2.91	-1.01	3.68
2.798	-2.99	-4.86	-0.02	5.71
2.808	-3.52	-4.94	-0.76	6.11
2.818	-3.03	-3.97	-0.87	5.07
2.826	-3.12	-3.95	-0.87	5.11
2.839	-1.8	-1.63	-0.02	2.43
2.848	-0.89	-0.47	0.03	1.01
2.858	0.03	0.78	-0.12	0.79
2.863	-0.03	0.79	-0.12	0.8
2.876	0.74	1.86	-0.06	2.01
2.889	1.16	2.41	-0.17	2.68
2.899	0.83	1.58	-0.22	1.8
2.909	0.42	0.47	-0.1	0.64
2.919	-0.14	-0.45	-0.13	0.48
2.927	-0.09	-0.46	-0.13	0.49
2.936	-0.41	-0.96	-0.1	1.04
2.949	-0.3	-0.74	0.09	0.8
2.959	-0.25	-0.39	0.06	0.46
2.969	-0.16	-0.06	0.16	0.23
2.976	-0.14	-0.06	0.15	0.22
2.989	0.12	0.56	0.19	0.61
2.999	0.18	0.74	0.16	0.78
3.009	0.16	0.84	0.24	0.89
3.019	-0.05	0.81	0.26	0.85
3.026	-0.04	0.81	0.25	0.85
3.034	-0.23	0.47	0.15	0.54
3.049	-0.17	-0.07	-0.06	0.19
3.059	-0.23	-0.3	-0.12	0.39
3.069	-0.24	-0.48	-0.12	0.55
3.076	-0.24	-0.48	-0.13	0.55
3.089	0	-0.42	-0.04	0.42
3.099	0.17	-0.27	0.07	0.33
3.11	0.3	-0.15	0.27	0.43
3.114	0.32	-0.16	0.26	0.45
3.126	0.43	-0.18	0.28	0.54
3.139	0.34	-0.11	0.36	0.51
3.149	0.15	-0.15	0.23	0.31
3.159	-0.02	-0.26	0.15	0.31
3.169	0.01	-0.26	0.13	0.29
3.174	0.04	-0.27	0.12	0.29
3.184	0.03	-0.24	0.11	0.27
3.194	0.04	-0.23	-0.02	0.24
3.204	0.12	-0.2	-0.08	0.25
3.214	0.26	-0.05	-0.03	0.27
3.224	0.28	0.02	-0.12	0.3
3.234	0.4	0.03	-0.17	0.44
3.245	0.51	0	-0.24	0.57
3.254	0.44	0	-0.32	0.55
3.265	0.53	0	-0.24	0.58
3.275	0.69	-0.03	-0.06	0.69
3.285	0.78	-0.05	0.05	0.79
3.295	0.83	-0.08	0.03	0.83
3.305	0.61	-0.13	-0.01	0.62
3.315	0.55	-0.18	0	0.58
3.325	0.54	-0.2	0.1	0.58
3.335	0.45	-0.24	0.09	0.52
3.345	0.33	-0.27	0.08	0.43
3.355	0.38	-0.24	0.05	0.45
3.366	0.28	-0.21	0.07	0.36
3.375	0.17	-0.18	0.14	0.28
3.385	0.23	-0.17	0.11	0.31
3.395	0.18	-0.16	0.04	0.24
3.405	0.04	-0.14	-0.02	0.15
3.415	0.08	-0.22	-0.02	0.24
3.427	0.12	-0.3	0	0.33
3.437	0.12	-0.36	-0.04	0.39
3.446	0.18	-0.43	-0.13	0.49
3.456	0.19	-0.44	-0.16	0.51
3.466	0.36	-0.37	-0.16	0.54
3.476	0.33	-0.21	-0.14	0.41
3.486	0.26	-0.01	-0.13	0.29
3.496	0.36	0.19	-0.11	0.42
3.506	0.37	0.33	0.01	0.5
3.516	0.35	0.35	0.22	0.54
3.526	0.21	0.2	0.32	0.44
3.536	0.11	0.1	0.23	0.27
3.546	0.08	0.13	0.17	0.23
3.556	0.05	0.18	0.2	0.27
3.566	-0.08	0.22	0.19	0.3
3.576	-0.07	0.28	0.13	0.31
3.586	-0.07	0.3	0.03	0.31
3.597	-0.16	0.2	-0.03	0.26
3.607	-0.16	0.1	-0.02	0.19
3.617	0	0.11	0.01	0.11
3.627	0.16	0.03	0.08	0.18
3.637	0.18	0.06	0.06	0.2
3.647	0.11	0.02	0	0.11
3.657	0.05	-0.1	-0.04	0.12
3.667	0.08	-0.11	0.04	0.14
3.676	0.18	0.01	0.13	0.22
3.687	0.24	0.01	0.1	0.26
3.697	0.15	-0.21	0.13	0.29
3.708	0.1	-0.33	0.13	0.37
3.718	0.16	-0.47	0.14	0.52
3.727	0.2	-0.57	0.05	0.61
3.738	0.19	-0.6	-0.01	0.63
3.748	0.14	-0.51	0.04	0.53
3.758	0.21	-0.32	0.1	0.4
3.768	0.31	-0.17	0.14	0.38
3.778	0.3	0.1	0.11	0.33
3.788	0.24	0.22	0.01	0.33
3.798	0.22	0.12	0	0.25
3.808	0.18	-0.01	-0.07	0.2
3.818	0.22	-0.11	-0.09	0.26
3.826	0.17	-0.16	-0.06	0.24
3.838	0.01	-0.1	-0.05	0.12
3.848	-0.15	-0.05	0	0.15
3.858	-0.16	-0.11	0.03	0.2
3.868	0.01	-0.11	-0.04	0.12
3.879	0.12	-0.03	-0.03	0.13
3.888	0.19	0.05	0.06	0.21
3.899	0.28	-0.05	0	0.29
3.909	0.28	-0.11	-0.09	0.32
3.919	0.26	-0.12	-0.02	0.28
3.929	0.15	-0.09	0.02	0.18
3.937	0	-0.01	0.05	0.05
3.949	-0.03	-0.03	0.02	0.05
3.96	0.1	-0.13	-0.06	0.18
3.969	0.18	-0.12	-0.04	0.22
3.979	0.25	0.05	0	0.25
3.989	0.26	0.1	0.04	0.28
3.999	0.2	0	-0.02	0.2
4.009	0.11	-0.05	-0.07	0.13
4.019	0.01	-0.05	-0.03	0.05
4.029	-0.09	0.02	-0.01	0.09
4.04	0.17	0.08	-0.02	0.19
4.05	0.26	0.14	-0.03	0.3
4.059	0.23	0.02	-0.06	0.23
4.07	0.22	-0.05	-0.05	0.23
4.08	0.24	-0.02	-0.06	0.25
4.09	0.28	-0.08	-0.05	0.3
4.1	0.29	-0.12	0.01	0.32
4.11	0.25	-0.16	0.01	0.3
4.12	0.2	-0.2	-0.03	0.29
4.13	0.17	-0.22	-0.02	0.28
4.14	0.17	-0.19	-0.01	0.26
4.15	0.17	-0.13	0	0.21
4.159	0.19	-0.04	-0.02	0.2
4.17	0.21	0.1	-0.03	0.23
4.18	0.12	0.21	-0.1	0.26
4.191	0.08	0.15	-0.09	0.2
4.2	0.06	0	-0.06	0.08
4.209	0.15	-0.15	0	0.21
4.221	0.17	-0.13	-0.01	0.22
4.231	0.15	-0.08	-0.07	0.19
4.241	0.06	-0.05	-0.12	0.14
